Episode,Collisions,Deliveries,SuccessRate,StepsPerDelivery
0,0,2,1.0,25.0
1,0,1,1.0,25
2,0,1,1.0,25
3,0,1,1.0,25
4,0,2,1.0,25.0
5,0,2,1.0,25.0
6,0,1,1.0,25
7,0,1,1.0,25
8,0,1,1.0,25
9,0,1,1.0,25
10,0,2,1.0,25.0
11,0,1,1.0,25
12,0,1,1.0,25
13,0,1,1.0,25
14,0,1,1.0,25
15,0,2,1.0,25.0
16,0,0,0.0,0
17,0,2,1.0,25.0
18,0,1,1.0,25
19,0,1,1.0,25
20,0,2,1.0,25.0
21,0,2,1.0,25.0
22,0,1,1.0,25
23,0,2,1.0,25.0
24,0,2,1.0,25.0
25,0,3,1.0,16.666666666666668
26,0,2,1.0,25.0
27,0,1,1.0,25
28,0,1,1.0,25
29,0,1,1.0,25
30,0,2,1.0,25.0
31,0,2,1.0,25.0
32,0,2,1.0,25.0
33,0,2,1.0,25.0
34,0,2,1.0,25.0
35,0,2,1.0,25.0
36,0,3,1.0,16.666666666666668
37,0,2,1.0,25.0
38,0,2,1.0,25.0
39,0,2,1.0,25.0
40,0,2,1.0,25.0
41,0,2,1.0,25.0
42,0,2,1.0,25.0
43,0,3,1.0,16.666666666666668
44,0,4,1.0,12.5
45,0,3,1.0,16.666666666666668
46,0,3,1.0,16.666666666666668
47,0,1,1.0,25
48,0,1,1.0,25
49,0,2,1.0,25.0
50,0,3,1.0,16.666666666666668
51,0,2,1.0,25.0
52,0,3,1.0,16.666666666666668
53,0,2,1.0,25.0
54,0,3,1.0,16.666666666666668
55,0,2,1.0,25.0
56,0,2,1.0,25.0
57,0,2,1.0,25.0
58,0,3,1.0,16.666666666666668
59,0,1,1.0,25
60,0,2,1.0,25.0
61,0,1,1.0,25
62,0,1,1.0,25
63,0,3,1.0,16.666666666666668
64,0,3,1.0,16.666666666666668
65,0,1,1.0,25
66,0,4,1.0,12.5
67,0,4,1.0,12.5
68,0,3,1.0,16.666666666666668
69,0,2,1.0,25.0
70,0,2,1.0,25.0
71,0,4,1.0,12.5
72,0,2,1.0,25.0
73,0,1,1.0,25
74,0,2,1.0,25.0
75,0,2,1.0,25.0
76,0,1,1.0,25
77,0,3,1.0,16.666666666666668
78,0,4,1.0,12.5
79,0,3,1.0,16.666666666666668
80,0,4,1.0,12.5
81,0,4,1.0,12.5
82,0,2,1.0,25.0
83,0,3,1.0,16.666666666666668
84,0,3,1.0,16.666666666666668
85,0,3,1.0,16.666666666666668
86,0,2,1.0,25.0
87,0,2,1.0,25.0
88,0,4,1.0,12.5
89,0,3,1.0,16.666666666666668
90,0,3,1.0,16.666666666666668
91,0,3,1.0,16.666666666666668
92,0,3,1.0,16.666666666666668
93,0,4,1.0,12.5
94,0,2,1.0,25.0
95,0,3,1.0,16.666666666666668
96,0,3,1.0,16.666666666666668
97,0,3,1.0,16.666666666666668
98,0,3,1.0,16.666666666666668
99,0,4,1.0,12.5
100,0,3,1.0,16.666666666666668
101,0,1,1.0,25
102,0,2,1.0,25.0
103,0,3,1.0,16.666666666666668
104,0,4,1.0,12.5
105,0,2,1.0,25.0
106,0,3,1.0,16.666666666666668
107,0,3,1.0,16.666666666666668
108,0,2,1.0,25.0
109,0,5,1.0,10.0
110,0,1,1.0,25
